Car_ID,Year,Model,Make,Total
83,2014,Accord,Honda,12
23,1998,Legacy,Subaru,10
31,2007,Fit,Honda,10
65,2009,Fit,Honda,10
124,2015,Wrangler,Jeep,10
127,2013,Tsx,Acura,10
128,2010,G37,Infiniti,10
142,1993,Supra,Toyota,10
3,2011,370,Nissan,8
5,2003,Rsx,Acura,8
9,1996,240,Nissan,8
12,1990,240,Nissan,8
15,2014,S4,Audi,8
21,2009,WRX,Subaru,8
25,2012,C250,Mercedes,8
33,2015,Sti,Subaru,8
36,2016,WRX,Subaru,8
39,2011,Civic,Honda,8
43,2011,"4 Runner",Toyota,8
48,2015,TLX,Acura,8
49,1997,Integra,Acura,8
50,2015,TLX,Acura,8
57,2015,Frs,Scion,8
91,2010,Lancer,Mitsu,8
112,2008,TL,Acura,8
113,2012,"Tsx sportwagon",Acura,8
118,1993,Civic,Honda,8
158,2007,350z,Nissan,8
161,2012,370z,Nissan,8
175,2006,Civic,Honda,8
178,2009,Oddesy,Honda,8
216,2007,300,Chrystler,8
218,2010,Camaro,Chevy,8
228,2010,370,Nissan,8
6,2016,"Golf r",Volkswagen,6
8,1991,Skyline,Nissan,6
13,2016,"Civic 1.5t",Honda,6
30,2012,Celoster,Hyundai,6
37,2015,Sti,Subaru,6
41,2012,Tsx,Acura,6
53,2013,WRX,Subaru,6
63,2010,Civic,Honda,6
84,2012,Cl63amg,Mercedes,6
88,2008,Accord,Honda,6
104,2014,"Civic si",Honda,6
106,2007,"Tl type s",Acura,6
116,2008,A4,Audi,6
126,2010,Eos,Volkswagen,6
172,2014,4,Bmw,6
180,2011,Gti,Volkswagen,6
186,2012,Gli,Volkswagen,6
1051,2006,Tsx,Acura,6
7,2014,Sentra,Nissan,4
10,2001,S15,Nissan,4
11,1991,Skyline,Nissan,4
18,2015,S3,Audi,4
19,2001,Evo7,Mitsu,4
22,2007,Civic,Honda,4
24,2013,BRZ,Subaru,4
35,2016,Civic,Honda,4
38,2017,"Elantra sport",Hyundai,4
44,2018,"Civic si",Honda,4
45,2006,TL,Acura,4
51,2015,WRX,Subaru,4
52,2007,"Speed 3",Mazda,4
56,2009,Jetta,Volkswagen,4
85,2017,Accord,Honda,4
99,2014,"Civic si",Honda,4
103,2010,Tsx,Acura,4
108,2013,S4,Audi,4
110,2011,Camry,Toyota,4
111,2007,328i,Bmw,4
115,2001,Crv,Honda,4
120,2014,"Focus st",Ford,4
121,2012,TL,Acura,4
122,2011,M37s,Infiniti,4
123,2006,Sc430,Lexus,4
134,2013,WRX,Subaru,4
145,1990,Gti,Volkswagen,4
156,2014,Gli,Volkswagen,4
170,2014,Cruze,Chevy,4
176,2014,Lancer,Mitsu,4
179,2004,R32,Volkswagen,4
182,2012,Cc,Volkswagen,4
187,2007,Legacy,Subaru,4
189,2012,"Fj cruiser",Toyota,4
200,2016,WRX,Subaru,4
222,2015,Is250,Lexus,4
225,2016,TLX,Acura,4
232,2018,WRX,Subaru,4
4341,1992,Rps13,Nissan,4
Showcar,2014,Gtr,Nissan,4
1,2012,WRX,Subaru,2
2,2016,M2,Bmw,2
14,1990,Skyline,Nissan,2
17,2016,C43,Mercedes,2
20,2009,G37,Infiniti,2
34,2010,Fit,Honda,2
42,2001,Viper,Dodge,2
46,2008,R32,Volkswagen,2
59,2012,Golf,Volkswagen,2
67,2015,Sti,Subaru,2
68,2013,Altima,Nissan,2
74,2015,Accord,Honda,2
76,2005,Sti,Subaru,2
78,2015,6,Mazda,2
79,1993,Miata,Mazda,2
81,2016,GTI,Volkswagen,2
89,2014,"Civic si",Honda,2
93,2005,TL,Acura,2
94,2004,Gti,Volkswagen,2
96,2017,Gti,Volkswagen,2
98,2012,C63,Mercedes,2
102,2015,Accord,Honda,2
114,2010,Gti,Volkswagen,2
137,2017,"Focus rs",Ford,2
140,1995,Evo8,Mitsu,2
141,1993,Miata,Mazda,2
144,2016,Gti,Volkswagen,2
150,2006,350z,Nissan,2
153,2017,Brz,Subaru,2
162,2014,370z,Nissan,2
163,2013,Ralliart,Mitsu,2
167,2016,Mystang,Ford,2
177,2005,"Jetta gli",Volkswagen,2
181,2003,Gti,Volkswagen,2
183,2005,Jetta,Volkswagen,2
193,2014,Ssntra,Nissan,2
207,1993,"Civic eG",Honda,2
211,2004,Tsx,Acura,2
219,2016,"Focus rs",Ford,2
220,2004,A4,Audi,2
230,2004,Tsx,Acura,2
235,2013,Frs,Scion,2
238,1982,Rabbit,Volkswagen,2
241,2007,Camry,Toyota,2
242,2014,Maxima,Nissan,2
Vip,2008,Gli,Volkswagen,2
0,2015,Camaro,Chevy,0
4,2007,Civic,Honda,0
16,2008,350z,Nissan,0
28,1995,318xi,Bmw,0
40,2007,Legacy,Subaru,0
64,2004,Forester,Subaru,0
66,2010,Gti,Volkswagen,0
69,2018,WRX,Subaru,0
70,2014,Civic,Honda,0
71,2008,TL,Acura,0
72,2016,"Civic si",Honda,0
75,2012,WRX,Subaru,0
86,1996,Jetta,Volkswagen,0
92,2017,"Elantra sport",Hyundai,0
95,2004,G35,Infiniti,0
100,2006,S60r,Volvo,0
101,2014,Civic,Honda,0
130,2016,"Civic si",Honda,0
138,1990,Miata,Mazda,0
159,2013,"Gen coupe",Hyundai,0
174,2006,Rsx,Acura,0
184,2010,Cc,Volkswagen,0
185,2013,Jett,Volkswagen,0
190,1995,Sc300,Lexus,0
197,2010,A4,Audi,0
212,2001,Is300,Lexus,0
226,2008,Accord,Honda,0
237,1987,Jetta,Volkswagen,0
243,2008,Matrix,Toyota,0

